name,date
A/England/225140707/2022|EPIISL17224995|2022-12-14|HA|4,2022/12/14
A/Lisboa/25/2023|EPIISL17370740|2023-01-04|HA|4,2023/1/4
A/England/225280064/2022|EPIISL17225011|2022-12-19|HA|4,2022/12/19
A/Extremadura/704/2023|EPIISL17297328|2023-02-02|HA|4,2023/2/2
A/Poland/PL50/2022|EPIISL16759329|2022-12-15|HA|4,2022/12/15
A/England/224940233/2022|EPIISL16657763|2022-12-01|HA|4,2022/12/1
A/England/224380555/2022|EPIISL15888903|2022-10-23|HA|4,2022/10/23
A/Chungbuk/736/2023|EPIISL17150660|2023-02-06|HA|4,2023/2/6
A/Vermont/15/2022|EPIISL17100959|2022-11-30|HA|4,2022/11/30
A/Guatemala/327/2022|EPIISL16447183|2022-10-06|HA|4,2022/10/6
A/Ontario/138/2022|EPIISL16755617|2022-12-10|HA|4,2022/12/10
A/Michigan/UOM10049020334/2022|EPIISL18076787|2022-12-22|HA|4,2022/12/22
A/Baltimore/JH-0549/2022|EPIISL16814735|2022-11-02|HA|4,2022/11/2
A/Michigan/HFHSL360223073/2022|EPIISL17804633|2022-12-09|HA|4,2022/12/9
A/France/ARA-HCL022217171601/2022|EPIISL16822902|2022-12-28|HA|4,2022/12/28
A/Michigan/HFHSL360236619/2022|EPIISL17804647|2022-12-10|HA|4,2022/12/10
A/Michigan/HFHSL361461341/2023|EPIISL17983312|2023-01-20|HA|4,2023/1/20
A/Nepal/434/2023|EPIISL18138342|2023-04-03|HA|4,2023/4/3
A/Switzerland/07426/2022|EPIISL16681936|2022-11-17|HA|4,2022/11/17
A/Michigan/HFHSL360219273/2022|EPIISL16935746|2022-12-09|HA|4,2022/12/9
A/CastillaLaMancha/4218/2022|EPIISL15999279|2022-10-23|HA|4,2022/10/23
A/Catalonia/NSVH534133575/2022|EPIISL16258253|2022-12-15|HA|4,2022/12/15
A/Michigan/UOM-907492/2022|EPIISL18120089|2022-12-15|HA|4,2022/12/15
A/England/225100326/2022|EPIISL16749478|2022-12-15|HA|4,2022/12/15
A/Germany/13713/2022|EPIISL16572318|2022-11-23|HA|4,2022/11/23
A/Tennessee/RVTNL3963341312222/2022|EPIISL16631974|2022-10-14|HA|4,2022/10/14
A/NorthDakota/32/2022|EPIISL16761526|2022-12-04|HA|4,2022/12/4
A/Belgium/G0261/2023|EPIISL18167357|2023-03-07|HA|4,2023/3/7
A/Delaware/49/2023|EPIISL17857201|2023-04-24|HA|4,2023/4/24
A/Lisboa/708/2022|EPIISL16619137|2022-11-25|HA|4,2022/11/25
A/CastillaLaMancha/1427/2023|EPIISL17716376|2023-03-12|HA|4,2023/3/12
A/France/ARA-HCL022216793001/2022|EPIISL16822889|2022-12-27|HA|4,2022/12/27
A/Hubei-Yiling/2133/2023|EPIISL18068788|2023-04-18|HA|4,2023/4/18
A/Alabama/USAFSAM-13539/2022|EPIISL16880845|2022-11-07|HA|4,2022/11/7
A/Shandong-Decheng/11130/2022|EPIISL16873560|2022-11-13|HA|4,2022/11/13
A/Massachusetts/55/2022|EPIISL16831100|2022-12-24|HA|4,2022/12/24
A/NorthCarolina/24/2022|EPIISL16765475|2022-11-27|HA|4,2022/11/27
A/Karlstad/5/2023|EPIISL18017736|2023-04-07|HA|4,2023/4/7
